No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,CRSR,"Corsair Gaming, Inc.",1998334800,19.58,-0.41%,1348371000
2,WLY,"John Wiley & Sons, Inc.",1994592222,35.91,-0.86%,2039426000
3,VET,Vermilion Energy Inc.,1990660000,12.05,1.69%,2292010870
4,CPE,Callon Petroleum Company,1990351466,32.17,-0.95%,3013792000
5,ACLX,"Arcellx, Inc.",1987410835,41.41,0.51%,17912000
6,HTGC,"Hercules Capital, Inc.",1984008221,13.93,3.49%,361621000
7,MTX,Minerals Technologies Inc.,1983194796,60.94,-0.67%,2152600000
8,PIII,P3 Health Partners Inc.,1981926046,3.85,20.69%,1078003666
9,CEIX,CONSOL Energy Inc.,1980789540,57.48,-0.52%,2432015000
10,VSCO,Victoria's Secret & Co.,1977860682,25.44,-4.22%,6344000000
11,CENT,Central Garden & Pet Company,1973143800,37.20,-0.43%,3259487000
12,FTCH,Farfetch Limited,1969420486,4.98,14.75%,2358268000
13,BOWL,Bowlero Corp.,1961267397,11.50,-1.79%,1087087000
14,CENTA,Central Garden & Pet Company,1956121317,35.38,-0.70%,3259487000
15,YY,JOYY Inc.,1955852400,28.50,0.99%,344113929
16,OSIS,"OSI Systems, Inc.",1953149604,116.76,-0.47%,1203378000
17,SONO,"Sonos, Inc.",1953060840,15.22,0.07%,1664825000
18,DAN,Dana Incorporated,1947011700,13.49,-1.46%,10320000000
19,GSAT,"Globalstar, Inc.",1944000000,1.08,-1.82%,174376000
20,SBLK,Star Bulk Carriers Corp.,1943997300,18.90,-0.32%,
21,NAVI,Navient Corporation,1941237750,15.35,-1.29%,1450000000
22,RIOT,"Riot Blockchain, Inc.",1939864240,11.08,0.09%,252620000
23,LAUR,"Laureate Education, Inc.",1933240200,12.30,,1283963000
24,BOOT,"Boot Barn Holdings, Inc.",1931124027,64.77,-3.00%,1657615000
25,EYE,"National Vision Holdings, Inc.",1929522456,24.71,-2.87%,2040062000
26,THRM,Gentherm Incorporated,1925044836,58.11,-0.21%,1300624000
27,EGO,Eldorado Gold Corporation,1924684080,10.41,-0.76%,906666000
28,SUPN,"Supernus Pharmaceuticals, Inc.",1922472156,35.29,0.92%,668496000
29,CTRE,"CareTrust REIT, Inc.",1921857000,19.32,-0.26%,200262000
30,STRA,"Strategic Education, Inc.",1918621028,78.02,-0.36%,1063231000
31,USAC,"USA Compression Partners, LP",1914058048,19.48,0.78%,738310000
32,INSW,"International Seaways, Inc.",1911104718,38.82,2.32%,1050313000
33,NXE,NexGen Energy Ltd.,1910141489,3.92,-0.51%,
